model_id,feature_set,task,split,fragmentation_bin,n,accuracy,macro_f1
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,1,795,0.7584905660377359,0.7168089053803339
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,2,2103,0.8083689966714218,0.7925928409437697
llama-3.2-1b,metadata_free_prompt_final,gender,lemma-heldout,3+,1801,0.8145474736257635,0.8127387718101082
llama-3.2-1b,metadata_free_prompt_final,gender,random,1,795,0.9685534591194969,0.9594924273768008
llama-3.2-1b,metadata_free_prompt_final,gender,random,2,2103,0.9291488349976225,0.9226865896280358
llama-3.2-1b,metadata_free_prompt_final,gender,random,3+,1801,0.8995002776235425,0.898816989927979
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,1,795,0.6754716981132075,0.6194619666048238
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,2,2103,0.7874465049928673,0.7708476293392923
llama-3.2-1b,metadata_free_prompt_final,gender,root-heldout,3+,1801,0.7640199888950583,0.7605110890632485
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,1,795,0.8226415094339623,0.4440338498975023
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,2,2103,0.8877793628150261,0.644820127077354
llama-3.2-1b,metadata_free_prompt_final,number,lemma-heldout,3+,1801,0.8772903942254303,0.695987725749355
llama-3.2-1b,metadata_free_prompt_final,number,random,1,795,0.9861635220125786,0.6381153034451289
llama-3.2-1b,metadata_free_prompt_final,number,random,2,2103,0.9643366619115549,0.852705729371592
llama-3.2-1b,metadata_free_prompt_final,number,random,3+,1801,0.9522487506940589,0.8296949726807754
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,1,795,0.8855345911949686,0.4915143182859718
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,2,2103,0.8782691393247741,0.5330667737940696
llama-3.2-1b,metadata_free_prompt_final,number,root-heldout,3+,1801,0.8806218767351471,0.6955174869690725
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,1,795,0.6125786163522012,0.4846458357957793
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,2,2104,0.7452471482889734,0.6899073008626474
llama-3.2-1b,metadata_free_prompt_final,pos,lemma-heldout,3+,1802,0.7502774694783574,0.7503094253961438
llama-3.2-1b,metadata_free_prompt_final,pos,random,1,795,0.969811320754717,0.9536541889483066
llama-3.2-1b,metadata_free_prompt_final,pos,random,2,2104,0.9125475285171103,0.8912273068031936
llama-3.2-1b,metadata_free_prompt_final,pos,random,3+,1802,0.8923418423973363,0.8864898314549103
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,1,795,0.6377358490566037,0.5366804514687967
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,2,2104,0.7115019011406845,0.6481758198658458
llama-3.2-1b,metadata_free_prompt_final,pos,root-heldout,3+,1802,0.7563817980022197,0.7463202097831515
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,1,795,0.6729559748427673,0.6247276688453159
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,2,2103,0.719923918212078,0.7024229857521029
llama-3.2-1b,target_final_subtoken,gender,lemma-heldout,3+,1801,0.7401443642420877,0.7389661067340567
llama-3.2-1b,target_final_subtoken,gender,random,1,795,0.9635220125786164,0.9528663514201426
llama-3.2-1b,target_final_subtoken,gender,random,2,2103,0.9063242986210176,0.8991749592176606
llama-3.2-1b,target_final_subtoken,gender,random,3+,1801,0.8761799000555247,0.8753608076256445
llama-3.2-1b,target_final_subtoken,gender,root-heldout,1,795,0.6880503144654088,0.6390174595734708
llama-3.2-1b,target_final_subtoken,gender,root-heldout,2,2103,0.7004279600570613,0.6786899160886648
llama-3.2-1b,target_final_subtoken,gender,root-heldout,3+,1801,0.6785119378123264,0.6766682015004163
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,1,795,0.779874213836478,0.3826822256046
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,2,2103,0.8292914883499762,0.5005827057797944
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,3+,1801,0.8423098278734037,0.6943516618779624
llama-3.2-1b,target_final_subtoken,number,random,1,795,0.9761006289308176,0.6241459213207069
llama-3.2-1b,target_final_subtoken,number,random,2,2103,0.9419876367094627,0.7511852137538199
llama-3.2-1b,target_final_subtoken,number,random,3+,1801,0.9483620210993893,0.8621623298628914
llama-3.2-1b,target_final_subtoken,number,root-heldout,1,795,0.8125786163522013,0.44210036887261867
llama-3.2-1b,target_final_subtoken,number,root-heldout,2,2103,0.8207322872087494,0.5389841814370117
llama-3.2-1b,target_final_subtoken,number,root-heldout,3+,1801,0.8362021099389229,0.694170638455874
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,1,795,0.6591194968553459,0.5185989491384816
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,2,2104,0.6449619771863118,0.5784663601167538
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,3+,1802,0.7053274139844617,0.6946050278793514
llama-3.2-1b,target_final_subtoken,pos,random,1,795,0.949685534591195,0.9212953540562748
llama-3.2-1b,target_final_subtoken,pos,random,2,2104,0.870722433460076,0.8363580185316244
llama-3.2-1b,target_final_subtoken,pos,random,3+,1802,0.881243063263041,0.8749872036495191
llama-3.2-1b,target_final_subtoken,pos,root-heldout,1,795,0.6528301886792452,0.5663565271646991
llama-3.2-1b,target_final_subtoken,pos,root-heldout,2,2104,0.6663498098859315,0.6109307900589677
llama-3.2-1b,target_final_subtoken,pos,root-heldout,3+,1802,0.709211986681465,0.6989893977640743
llama-3.2-1b,target_mean_span,gender,lemma-heldout,1,795,0.7635220125786164,0.7257614678899083
llama-3.2-1b,target_mean_span,gender,lemma-heldout,2,2103,0.746077032810271,0.7254058997280961
llama-3.2-1b,target_mean_span,gender,lemma-heldout,3+,1801,0.7107162687395892,0.7083565796397477
llama-3.2-1b,target_mean_span,gender,random,1,795,0.969811320754717,0.9603082146185594
llama-3.2-1b,target_mean_span,gender,random,2,2103,0.91773656680932,0.9111645311536654
llama-3.2-1b,target_mean_span,gender,random,3+,1801,0.8917268184342032,0.8908436334544162
llama-3.2-1b,target_mean_span,gender,root-heldout,1,795,0.6893081761006289,0.6558145975345342
llama-3.2-1b,target_mean_span,gender,root-heldout,2,2103,0.7108892058963385,0.6931977855755277
llama-3.2-1b,target_mean_span,gender,root-heldout,3+,1801,0.7023875624652971,0.7010381051484069
llama-3.2-1b,target_mean_span,number,lemma-heldout,1,795,0.7044025157232704,0.35816150920231943
llama-3.2-1b,target_mean_span,number,lemma-heldout,2,2103,0.8326200665715644,0.5462130232338138
llama-3.2-1b,target_mean_span,number,lemma-heldout,3+,1801,0.832870627429206,0.6464110477999366
llama-3.2-1b,target_mean_span,number,random,1,795,0.959748427672956,0.5870289231285082
llama-3.2-1b,target_mean_span,number,random,2,2103,0.9491203043271517,0.7976191126412423
llama-3.2-1b,target_mean_span,number,random,3+,1801,0.937812326485286,0.8560089470621003
llama-3.2-1b,target_mean_span,number,root-heldout,1,795,0.7471698113207547,0.42143397070468325
llama-3.2-1b,target_mean_span,number,root-heldout,2,2103,0.7874465049928673,0.5244703323359974
llama-3.2-1b,target_mean_span,number,root-heldout,3+,1801,0.8145474736257635,0.6669011441743274
llama-3.2-1b,target_mean_span,pos,lemma-heldout,1,795,0.5622641509433962,0.38403689546285524
llama-3.2-1b,target_mean_span,pos,lemma-heldout,2,2104,0.6563688212927756,0.6064542936886814
llama-3.2-1b,target_mean_span,pos,lemma-heldout,3+,1802,0.6637069922308546,0.6436191962996959
llama-3.2-1b,target_mean_span,pos,random,1,795,0.9509433962264151,0.9266809835071705
llama-3.2-1b,target_mean_span,pos,random,2,2104,0.8830798479087453,0.8535166805566079
llama-3.2-1b,target_mean_span,pos,random,3+,1802,0.8879023307436182,0.879911306728447
llama-3.2-1b,target_mean_span,pos,root-heldout,1,795,0.579874213836478,0.44000222687179624
llama-3.2-1b,target_mean_span,pos,root-heldout,2,2104,0.657319391634981,0.600772010651872
llama-3.2-1b,target_mean_span,pos,root-heldout,3+,1802,0.6631520532741398,0.6440865308057914
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,1,1201,0.9075770191507078,0.8961749910630632
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,2,1557,0.9479768786127167,0.9382483199294921
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,3+,1941,0.9422977846470891,0.9418980318369878
qwen3-0.6b,full_prompt_final,gender,random,1,1201,0.9916736053288926,0.9905071295330234
qwen3-0.6b,full_prompt_final,gender,random,2,1557,0.9762363519588954,0.9718264880601606
qwen3-0.6b,full_prompt_final,gender,random,3+,1941,0.9670273055126224,0.9668211508753037
qwen3-0.6b,full_prompt_final,gender,root-heldout,1,1201,0.8709408825978351,0.8557274620418027
qwen3-0.6b,full_prompt_final,gender,root-heldout,2,1557,0.9338471419396275,0.9220369535826949
qwen3-0.6b,full_prompt_final,gender,root-heldout,3+,1941,0.8943843379701185,0.8942046182998984
qwen3-0.6b,full_prompt_final,number,lemma-heldout,1,1201,0.9567027477102414,0.8768962689626896
qwen3-0.6b,full_prompt_final,number,lemma-heldout,2,1557,0.9242132305716121,0.710657503853856
qwen3-0.6b,full_prompt_final,number,lemma-heldout,3+,1941,0.9469345698093766,0.8546881040498061
qwen3-0.6b,full_prompt_final,number,random,1,1201,0.9933388842631141,0.9798198743152872
qwen3-0.6b,full_prompt_final,number,random,2,1557,0.9813744380218369,0.9450716400474644
qwen3-0.6b,full_prompt_final,number,random,3+,1941,0.9690880989180835,0.8775027515225092
qwen3-0.6b,full_prompt_final,number,root-heldout,1,1201,0.9467110741049126,0.5717423692793874
qwen3-0.6b,full_prompt_final,number,root-heldout,2,1557,0.9441233140655106,0.7431405055390856
qwen3-0.6b,full_prompt_final,number,root-heldout,3+,1941,0.9515713549716641,0.8440367391299087
qwen3-0.6b,full_prompt_final,pos,lemma-heldout,1,1201,0.8501248959200666,0.8347575267736173
qwen3-0.6b,full_prompt_final,pos,lemma-heldout,2,1557,0.8773281952472703,0.8264610783671037
qwen3-0.6b,full_prompt_final,pos,lemma-heldout,3+,1943,0.8908903757076686,0.8845241698737815
qwen3-0.6b,full_prompt_final,pos,random,1,1201,0.974188176519567,0.9680732139120805
qwen3-0.6b,full_prompt_final,pos,random,2,1557,0.962106615285806,0.9514663684270613
qwen3-0.6b,full_prompt_final,pos,random,3+,1943,0.9408131755018013,0.9358414304309588
qwen3-0.6b,full_prompt_final,pos,root-heldout,1,1201,0.8800999167360533,0.8663109707729131
qwen3-0.6b,full_prompt_final,pos,root-heldout,2,1557,0.8509955041746949,0.7914269600241397
qwen3-0.6b,full_prompt_final,pos,root-heldout,3+,1943,0.8558929490478642,0.8340575728675281
qwen3-0.6b,metadata_free_prompt_final,gender,lemma-heldout,1,1201,0.7601998334721066,0.7404879805528045
qwen3-0.6b,metadata_free_prompt_final,gender,lemma-heldout,2,1557,0.8285163776493256,0.8044717804577606
qwen3-0.6b,metadata_free_prompt_final,gender,lemma-heldout,3+,1941,0.8603812467800103,0.8590304769199393
qwen3-0.6b,metadata_free_prompt_final,gender,random,1,1201,0.9725228975853455,0.96869433752422
qwen3-0.6b,metadata_free_prompt_final,gender,random,2,1557,0.9351316634553629,0.9229075289396421
qwen3-0.6b,metadata_free_prompt_final,gender,random,3+,1941,0.9108706852138073,0.9102609088851302
qwen3-0.6b,metadata_free_prompt_final,gender,root-heldout,1,1201,0.7110741049125728,0.684592487533083
qwen3-0.6b,metadata_free_prompt_final,gender,root-heldout,2,1557,0.8387925497752088,0.8165643034332558
qwen3-0.6b,metadata_free_prompt_final,gender,root-heldout,3+,1941,0.8459556929417826,0.8448206849067829
qwen3-0.6b,metadata_free_prompt_final,number,lemma-heldout,1,1201,0.9367194004995837,0.5536910270820256
qwen3-0.6b,metadata_free_prompt_final,number,lemma-heldout,2,1557,0.9197174052665382,0.7234497270554529
qwen3-0.6b,metadata_free_prompt_final,number,lemma-heldout,3+,1941,0.9258114374034003,0.7638176208821327
qwen3-0.6b,metadata_free_prompt_final,number,random,1,1201,0.9875104079933389,0.9616869237885604
qwen3-0.6b,metadata_free_prompt_final,number,random,2,1557,0.9672447013487476,0.8327176423150905
qwen3-0.6b,metadata_free_prompt_final,number,random,3+,1941,0.9536321483771252,0.8160994178235557
qwen3-0.6b,metadata_free_prompt_final,number,root-heldout,1,1201,0.9350541215653622,0.8194611470860315
qwen3-0.6b,metadata_free_prompt_final,number,root-heldout,2,1557,0.9261400128452152,0.6254149452579087
qwen3-0.6b,metadata_free_prompt_final,number,root-heldout,3+,1941,0.9206594538897476,0.7790255674187558
qwen3-0.6b,metadata_free_prompt_final,pos,lemma-heldout,1,1201,0.8268109908409659,0.8013670835137864
qwen3-0.6b,metadata_free_prompt_final,pos,lemma-heldout,2,1557,0.8105330764290302,0.7528212575561266
qwen3-0.6b,metadata_free_prompt_final,pos,lemma-heldout,3+,1943,0.8229541945445188,0.8000617835419108
qwen3-0.6b,metadata_free_prompt_final,pos,random,1,1201,0.9750208159866778,0.9690952917814609
qwen3-0.6b,metadata_free_prompt_final,pos,random,2,1557,0.9171483622350675,0.8998841186888638
qwen3-0.6b,metadata_free_prompt_final,pos,random,3+,1943,0.9176531137416366,0.9077825597287612
qwen3-0.6b,metadata_free_prompt_final,pos,root-heldout,1,1201,0.8259783513738551,0.7861715288497054
qwen3-0.6b,metadata_free_prompt_final,pos,root-heldout,2,1557,0.8432883750802826,0.7955847685102969
qwen3-0.6b,metadata_free_prompt_final,pos,root-heldout,3+,1943,0.8610396294390118,0.8438758358496123
qwen3-0.6b,target_final_subtoken,gender,lemma-heldout,1,1201,0.794338051623647,0.7737862382249838
qwen3-0.6b,target_final_subtoken,gender,lemma-heldout,2,1557,0.8227360308285164,0.7881641007035366
qwen3-0.6b,target_final_subtoken,gender,lemma-heldout,3+,1941,0.8825347758887172,0.8817005051174687
qwen3-0.6b,target_final_subtoken,gender,random,1,1201,0.9783513738551207,0.9752523427296129
qwen3-0.6b,target_final_subtoken,gender,random,2,1557,0.9550417469492614,0.9470465799640856
qwen3-0.6b,target_final_subtoken,gender,random,3+,1941,0.9335394126738794,0.9332211413445703
qwen3-0.6b,target_final_subtoken,gender,root-heldout,1,1201,0.813488759367194,0.7960703456640388
qwen3-0.6b,target_final_subtoken,gender,root-heldout,2,1557,0.8407193320488118,0.8195761064593301
qwen3-0.6b,target_final_subtoken,gender,root-heldout,3+,1941,0.8572900566718187,0.8559674353750517
qwen3-0.6b,target_final_subtoken,number,lemma-heldout,1,1201,0.9733555370524563,0.9218505986465383
qwen3-0.6b,target_final_subtoken,number,lemma-heldout,2,1557,0.9299935773924213,0.7537396903205726
qwen3-0.6b,target_final_subtoken,number,lemma-heldout,3+,1941,0.9412673879443586,0.8264846633499191
qwen3-0.6b,target_final_subtoken,number,random,1,1201,0.9883430474604497,0.9643903968011929
qwen3-0.6b,target_final_subtoken,number,random,2,1557,0.9691714836223507,0.876160217025324
qwen3-0.6b,target_final_subtoken,number,random,3+,1941,0.9680577022153529,0.8685872333168957
qwen3-0.6b,target_final_subtoken,number,root-heldout,1,1201,0.9833472106577852,0.9491291382874183
qwen3-0.6b,target_final_subtoken,number,root-heldout,2,1557,0.9248554913294798,0.708638544165427
qwen3-0.6b,target_final_subtoken,number,root-heldout,3+,1941,0.9289026275115919,0.828100756625393
qwen3-0.6b,target_final_subtoken,pos,lemma-heldout,1,1201,0.8534554537885096,0.8212750320569651
qwen3-0.6b,target_final_subtoken,pos,lemma-heldout,2,1557,0.8304431599229287,0.7868924236110432
qwen3-0.6b,target_final_subtoken,pos,lemma-heldout,3+,1943,0.86515697375193,0.8474775897331238
qwen3-0.6b,target_final_subtoken,pos,random,1,1201,0.9783513738551207,0.9760582619637633
qwen3-0.6b,target_final_subtoken,pos,random,2,1557,0.9351316634553629,0.9181152935775719
qwen3-0.6b,target_final_subtoken,pos,random,3+,1943,0.9243437982501287,0.9159763242724498
qwen3-0.6b,target_final_subtoken,pos,root-heldout,1,1201,0.7993338884263114,0.7506502506545686
qwen3-0.6b,target_final_subtoken,pos,root-heldout,2,1557,0.8163134232498395,0.765551697024549
qwen3-0.6b,target_final_subtoken,pos,root-heldout,3+,1943,0.8507462686567164,0.8298943766597091
qwen3-0.6b,target_mean_span,gender,lemma-heldout,1,1201,0.7610324729392173,0.7388538988909017
qwen3-0.6b,target_mean_span,gender,lemma-heldout,2,1557,0.8831085420680796,0.8626430407823764
qwen3-0.6b,target_mean_span,gender,lemma-heldout,3+,1941,0.8536836682122617,0.8528163448393711
qwen3-0.6b,target_mean_span,gender,random,1,1201,0.9833472106577852,0.9810644282434853
qwen3-0.6b,target_mean_span,gender,random,2,1557,0.9466923570969814,0.9370265024615658
qwen3-0.6b,target_mean_span,gender,random,3+,1941,0.9278722308088614,0.9273725397962347
qwen3-0.6b,target_mean_span,gender,root-heldout,1,1201,0.7643630308076603,0.7419430029193257
qwen3-0.6b,target_mean_span,gender,root-heldout,2,1557,0.8439306358381503,0.8195806996921888
qwen3-0.6b,target_mean_span,gender,root-heldout,3+,1941,0.8516228748068007,0.8504347230486693
qwen3-0.6b,target_mean_span,number,lemma-heldout,1,1201,0.9425478767693589,0.8546272662684525
qwen3-0.6b,target_mean_span,number,lemma-heldout,2,1557,0.9447655748233783,0.7387768242583812
qwen3-0.6b,target_mean_span,number,lemma-heldout,3+,1941,0.9294178258629573,0.7939064041929642
qwen3-0.6b,target_mean_span,number,random,1,1201,0.9883430474604497,0.9655360422405876
qwen3-0.6b,target_mean_span,number,random,2,1557,0.9736673089274245,0.8820183151477169
qwen3-0.6b,target_mean_span,number,random,3+,1941,0.9634209170530654,0.810727387236474
qwen3-0.6b,target_mean_span,number,root-heldout,1,1201,0.8767693588676103,0.47119717537460587
qwen3-0.6b,target_mean_span,number,root-heldout,2,1557,0.9396274887604368,0.7632124574137645
qwen3-0.6b,target_mean_span,number,root-heldout,3+,1941,0.9402369912416281,0.7530252275220111
qwen3-0.6b,target_mean_span,pos,lemma-heldout,1,1201,0.8301415487094088,0.7940285480042003
qwen3-0.6b,target_mean_span,pos,lemma-heldout,2,1557,0.8394348105330764,0.7972245242422864
qwen3-0.6b,target_mean_span,pos,lemma-heldout,3+,1943,0.8533196088522903,0.8351973285495707
qwen3-0.6b,target_mean_span,pos,random,1,1201,0.9800166527893422,0.9763833466717347
qwen3-0.6b,target_mean_span,pos,random,2,1557,0.9402697495183044,0.92676648299847
qwen3-0.6b,target_mean_span,pos,random,3+,1943,0.9181677817807514,0.9071929449632362
qwen3-0.6b,target_mean_span,pos,root-heldout,1,1201,0.7826810990840966,0.7513206339488608
qwen3-0.6b,target_mean_span,pos,root-heldout,2,1557,0.8169556840077071,0.7621676175622358
qwen3-0.6b,target_mean_span,pos,root-heldout,3+,1943,0.847143592382913,0.8274645854804533
